Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,RxLev,BSIC,C/I,HRTOA,Raw Messages,cellIdentity,mnc,mcc,LAC,C1,C2,Neighbor List,3G Neighbor List,EUTRA Neighbor List
9/22/2025,15:41:12:562,38.896808,-77.03951,151,657,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:12:929,38.896802,-77.03951,152,658,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:307,38.896795,-77.03951,153,659,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:307,38.896788,-77.03951,154,660,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:307,38.896782,-77.03951,155,661,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:307,38.896775,-77.03951,156,662,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:307,38.896768,-77.03951,157,663,512,0,0,0,0,-86.68,-86.68,24,42,9.84,128,,,,,,,,,,
9/22/2025,15:41:13:687,38.896762,-77.03951,158,664,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:687,38.896757,-77.039511,159,665,512,0,0,0,0,-98.22,-98.22,12,42,13.58,120,,,,,,,,,,
9/22/2025,15:41:13:687,38.896753,-77.039512,160,666,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:687,38.896749,-77.039512,161,667,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:13:687,38.896745,-77.039513,162,668,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:062,38.89674,-77.039513,163,669,512,0,0,0,0,-94.84,-94.84,16,42,5.7,120,,,,,,,,,,
9/22/2025,15:41:14:062,38.896736,-77.039514,164,670,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:062,38.896732,-77.039515,165,671,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:062,38.896727,-77.039515,166,672,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:434,38.896715,-77.039517,169,675,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:434,38.896706,-77.039518,171,677,512,0,0,0,0,-95.35,-95.35,15,42,12.35,136,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:14:803,38.896698,-77.03952,173,679,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:179,38.896693,-77.039522,174,680,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:180,38.896688,-77.039525,175,681,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:180,38.896684,-77.039527,176,682,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:180,38.896679,-77.03953,177,683,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:180,38.896675,-77.039532,178,684,512,0,0,0,0,-82.36,-82.36,28,42,6.58,128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:557,38.896665,-77.039537,180,686,512,0,0,0,0,-90,-90,20,42,-2.76,136,,,,,,,,,,
9/22/2025,15:41:15:558,38.896661,-77.03954,181,687,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:558,38.896656,-77.039542,182,688,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:558,38.896652,-77.039545,183,689,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:15:928,38.896647,-77.039547,184,690,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:16:312,38.896626,-77.039565,185,691,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:16:680,38.896604,-77.039588,187,693,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:16:680,38.896602,-77.039592,188,694,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:16:680,38.896599,-77.039597,189,695,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:16:680,38.896597,-77.039601,190,696,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:063,38.896595,-77.039605,191,697,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:063,38.896593,-77.039609,192,698,512,0,0,0,0,-73.13,-73.13,37,42,5.75,144,,,,,,,,,,
9/22/2025,15:41:17:063,38.896591,-77.039614,193,699,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:063,38.896589,-77.039618,194,700,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:438,38.896584,-77.039626,196,702,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:438,38.896582,-77.039631,197,703,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:438,38.89658,-77.039635,198,704,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:438,38.896576,-77.039644,200,706,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:813,38.896574,-77.039648,201,707,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:813,38.896571,-77.039653,202,708,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:813,38.896569,-77.039659,203,709,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:17:813,38.896567,-77.039664,204,710,512,0,0,0,0,-98.94,-98.94,12,42,-2.05,136,,,,,,,,,,
9/22/2025,15:41:17:813,38.896565,-77.03967,205,711,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:186,38.89656,-77.039681,207,713,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:186,38.896558,-77.039686,208,714,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:186,38.896555,-77.039692,209,715,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:186,38.896553,-77.039697,210,716,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:561,38.896551,-77.039703,211,717,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:561,38.896544,-77.039724,213,719,512,0,0,0,0,-78.28,-78.28,32,42,13.37,128,,,,,,,,,,
9/22/2025,15:41:18:561,38.896541,-77.039734,214,720,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:18:561,38.896538,-77.039745,215,721,512,0,0,0,0,-93.1,-93.1,17,42,17.62,120,,,,,,,,,,
9/22/2025,15:41:18:930,38.896534,-77.039755,216,722,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:19:309,38.896531,-77.039766,217,723,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:19:683,38.896528,-77.039776,218,724,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:19:683,38.896526,-77.039782,219,725,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:19:683,38.896525,-77.039788,220,726,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:19:683,38.896523,-77.039794,221,727,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:067,38.89652,-77.039805,223,729,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:067,38.896518,-77.039811,224,730,512,0,0,0,0,-66.17,-66.17,44,34,9.35,136,,,,,,,,,,
9/22/2025,15:41:20:067,38.896516,-77.039817,225,731,512,0,0,0,0,-91.92,-91.92,19,42,9.35,136,,,,,,,,,,
9/22/2025,15:41:20:067,38.896515,-77.039823,226,732,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:067,38.896513,-77.039829,227,733,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:434,38.896511,-77.039835,228,734,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:815,38.89651,-77.03984,229,735,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:815,38.896506,-77.039853,230,736,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:815,38.896502,-77.039865,231,737,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:20:815,38.896494,-77.039889,233,739,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:21:193,38.89649,-77.039902,234,740,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:21:565,38.896487,-77.039914,235,741,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:21:943,38.896476,-77.039938,236,742,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:22:324,38.896465,-77.039963,237,743,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:22:691,38.896455,-77.039987,238,744,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:22:691,38.896451,-77.039999,239,745,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:22:691,38.896448,-77.040011,240,746,585,0,0,0,0,-88.73,-88.73,22,48,1.13,128,,,,,,,,,,
9/22/2025,15:41:22:691,38.896445,-77.040022,241,747,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:22:691,38.896441,-77.040034,242,748,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:23:070,38.896438,-77.040046,243,749,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:23:450,38.896435,-77.040058,244,750,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:23:821,38.896432,-77.04007,245,751,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:191,38.896427,-77.040083,246,752,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:192,38.896423,-77.040097,247,753,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:192,38.896418,-77.040111,248,754,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:192,38.896413,-77.040125,249,755,585,0,0,0,0,-93.34,-93.34,17,45,0.31,144,,,,,,,,,,
9/22/2025,15:41:24:192,38.896409,-77.040138,250,756,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:566,38.896404,-77.040152,251,757,585,0,0,0,0,-98.92,-98.92,12,48,6.61,120,,,,,,,,,,
9/22/2025,15:41:24:566,38.896403,-77.040158,252,758,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:566,38.896401,-77.040163,253,759,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:566,38.8964,-77.040169,254,760,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:566,38.896398,-77.040174,255,761,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:942,38.896397,-77.04018,0,762,585,0,0,0,0,-100.26,-100.26,10,45,3.21,136,,,,,,,,,,
9/22/2025,15:41:24:942,38.896395,-77.040185,1,763,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:942,38.896393,-77.040191,2,764,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:942,38.896392,-77.040196,3,765,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:24:942,38.89639,-77.040202,4,766,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:25:316,38.896389,-77.040207,5,767,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:25:316,38.896387,-77.040213,6,768,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:25:316,38.896386,-77.040218,7,769,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:25:316,38.896384,-77.040224,8,770,585,0,0,0,0,-94.74,-94.74,16,48,7.49,136,,,,,,,,,,
9/22/2025,15:41:25:316,38.896383,-77.040229,9,771,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:25:699,38.896381,-77.040235,10,772,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:26:063,38.896374,-77.040262,11,773,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:26:445,38.896366,-77.04029,12,774,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:26:574,38.896358,-77.040317,13,775,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:27:041,38.896356,-77.040325,14,776,512,0,0,0,0,-94.18,-94.18,16,42,5.37,128,,,,,,,,,,
9/22/2025,15:41:27:042,38.896354,-77.040334,15,777,512,0,0,0,0,-96.83,-96.83,14,42,12.35,128,,,,,,,,,,
9/22/2025,15:41:27:042,38.896352,-77.040342,16,778,512,0,0,0,0,-97.72,-97.72,13,42,7.26,128,,,,,,,,,,
9/22/2025,15:41:27:042,38.89635,-77.04035,17,779,512,0,0,0,0,-97.26,-97.26,13,42,16.68,136,,,,,,,,,,
9/22/2025,15:41:27:042,38.896348,-77.040359,18,780,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:27:411,38.896344,-77.040375,20,782,512,0,0,0,0,-91.23,-91.23,19,42,4.03,128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:27:411,38.89634,-77.040392,22,784,512,0,0,0,0,-88.07,-88.07,22,42,-0.97,128,,,,,,,,,,
9/22/2025,15:41:27:411,38.896338,-77.0404,23,785,512,0,0,0,0,-99.16,-99.16,11,42,4.27,128,,,,,,,,,,
9/22/2025,15:41:27:785,38.896335,-77.040409,24,786,512,0,0,0,0,-97.49,-97.49,13,42,19.15,136,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:27:786,38.896329,-77.040434,27,789,512,0,0,0,0,-95.2,-95.2,15,42,16.28,128,,,,,,,,,,
9/22/2025,15:41:27:786,38.896326,-77.040442,28,790,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:162,38.896322,-77.040458,30,792,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:162,38.896319,-77.040467,31,793,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:162,38.896317,-77.040475,32,794,512,0,0,0,0,-99.45,-99.45,11,42,17.36,136,,,,,,,,,,
9/22/2025,15:41:28:163,38.896315,-77.040483,33,795,512,0,0,0,0,-96.27,-96.27,14,42,15.4,128,,,,,,,,,,
9/22/2025,15:41:28:537,38.896312,-77.040491,34,796,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:537,38.896311,-77.040497,35,797,512,0,0,0,0,-95.76,-95.76,15,42,8.21,128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:538,38.896308,-77.040508,37,799,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:538,38.896306,-77.040513,38,800,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:913,38.896305,-77.040519,39,801,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:913,38.896303,-77.040524,40,802,512,0,0,0,0,-92.98,-92.98,18,42,11.3,128,,,,,,,,,,
9/22/2025,15:41:28:913,38.896302,-77.04053,41,803,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:913,38.8963,-77.040535,42,804,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:28:913,38.896299,-77.040541,43,805,512,0,0,0,0,-92.57,-92.57,18,42,4.91,136,,,,,,,,,,
9/22/2025,15:41:29:288,38.896297,-77.040546,44,806,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:29:289,38.896296,-77.040552,45,807,512,0,0,0,0,-90.95,-90.95,20,42,11.57,128,,,,,,,,,,
9/22/2025,15:41:29:289,38.896294,-77.040557,46,808,512,0,0,0,0,-80.49,-80.49,30,42,2.07,144,,,,,,,,,,
9/22/2025,15:41:29:289,38.896293,-77.040563,47,809,512,0,0,0,0,-95.62,-95.62,15,42,10.32,144,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:29:662,38.89629,-77.040574,49,811,512,0,0,0,0,-93.61,-93.61,17,42,4.91,136,,,,,,,,,,
9/22/2025,15:41:29:663,38.896288,-77.040579,50,812,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:29:663,38.896287,-77.040585,51,813,512,0,0,0,0,-97.87,-97.87,13,42,-0.88,136,,,,,,,,,,
9/22/2025,15:41:29:663,38.896285,-77.04059,52,814,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:29:663,38.896283,-77.040596,53,815,512,0,0,0,0,-96.75,-96.75,14,42,8.94,128,,,,,,,,,,
9/22/2025,15:41:30:039,38.896282,-77.040601,54,816,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:30:039,38.89628,-77.040607,55,817,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:30:039,38.896279,-77.040612,56,818,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:30:040,38.896277,-77.040618,57,819,512,0,0,0,0,-96.35,-96.35,14,42,12.02,136,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:30:413,38.896274,-77.040629,59,821,512,0,0,0,0,-96.36,-96.36,14,42,12.18,128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:30:413,38.896271,-77.04064,61,823,512,0,0,0,0,-91.15,-91.15,19,42,7.84,136,,,,,,,,,,
9/22/2025,15:41:30:413,38.89627,-77.040645,62,824,512,0,0,0,0,-98.21,-98.21,12,42,10.6,120,,,,,,,,,,
9/22/2025,15:41:30:413,38.896268,-77.040651,63,825,512,0,0,0,0,-97.08,-97.08,13,42,10.32,132,,,,,,,,,,
9/22/2025,15:41:30:789,38.896267,-77.040656,64,826,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:162,38.896263,-77.04067,65,827,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:162,38.896259,-77.040684,66,828,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:162,38.896255,-77.040698,67,829,512,0,0,0,0,-89.93,-89.93,21,42,5.37,128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:162,38.896248,-77.040725,69,831,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:540,38.896244,-77.040739,70,832,512,0,0,0,0,-91.63,-91.63,19,42,8.61,136,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:540,38.896241,-77.04075,72,834,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:540,38.896239,-77.040755,73,835,512,0,0,0,0,-94.43,-94.43,16,42,6.32,128,,,,,,,,,,
9/22/2025,15:41:31:540,38.896238,-77.040761,74,836,512,0,0,0,0,-95.08,-95.08,15,42,1.04,131,,,,,,,,,,
9/22/2025,15:41:31:917,38.896236,-77.040766,75,837,512,0,0,0,0,-99.78,-99.78,11,42,4.29,136,,,,,,,,,,
9/22/2025,15:41:31:917,38.896235,-77.040772,76,838,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:31:917,38.896232,-77.040783,78,840,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:282,38.896228,-77.040794,80,842,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:282,38.896227,-77.040799,81,843,512,0,0,0,0,-99,-99,11,42,6.29,128,,,,,,,,,,
9/22/2025,15:41:32:282,38.896225,-77.040805,82,844,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:282,38.896224,-77.04081,83,845,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:282,38.896222,-77.040816,84,846,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:665,38.896221,-77.040821,85,847,512,0,0,0,0,-99.47,-99.47,11,42,3.31,128,,,,,,,,,,
9/22/2025,15:41:32:665,38.89622,-77.040827,86,848,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:32:665,38.896218,-77.040832,87,849,512,0,0,0,0,-85.16,-85.16,25,42,13.26,128,,,,,,,,,,
9/22/2025,15:41:32:665,38.896217,-77.040838,88,850,512,0,0,0,0,-101.66,-101.66,9,42,11.57,130,,,,,,,,,,
9/22/2025,15:41:32:665,38.896216,-77.040843,89,851,512,0,0,0,0,-92.31,-92.31,18,42,10.49,132,,,,,,,,,,
9/22/2025,15:41:33:040,38.896215,-77.040849,90,852,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:040,38.896213,-77.040854,91,853,512,0,0,0,0,-96.97,-96.97,14,42,17.88,128,,,,,,,,,,
9/22/2025,15:41:33:040,38.896212,-77.04086,92,854,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:040,38.896211,-77.040865,93,855,512,0,0,0,0,-90.03,-90.03,20,42,-0.29,130,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:417,38.896207,-77.040882,96,858,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:793,38.896202,-77.040904,100,862,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:793,38.8962,-77.04091,101,863,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:33:798,38.896193,-77.040929,104,866,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:164,38.896191,-77.040936,105,867,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:165,38.896189,-77.040942,106,868,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:165,38.896186,-77.040949,107,869,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:165,38.896184,-77.040955,108,870,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:533,38.89618,-77.040968,110,872,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:919,38.896178,-77.040973,111,873,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:920,38.896176,-77.040984,113,875,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:920,38.896174,-77.040995,115,877,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:34:996,38.896173,-77.041,116,878,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:35:292,38.896172,-77.041005,117,879,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:35:292,38.89617,-77.041011,118,880,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:35:292,38.896168,-77.041021,120,882,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:35:292,38.896167,-77.041027,121,883,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:35:664,38.896166,-77.041032,122,884,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:36:362,38.896159,-77.04105,123,885,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:36:811,38.896152,-77.041069,124,886,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:36:811,38.896152,-77.041071,125,887,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:36:811,38.896151,-77.041072,126,888,,,,,,,,,,,,,,,,,,,,,
9/22/2025,15:41:36:811,38.896151,-77.041074,127,889,,,,,,,,,,,,,,,,,,,,,
